,dataset,trial,n_samples,d_dimensions,nu,gamma,scorer,value
0,gauss,1,500,2,,0.48925555277647514,hsic,0.026471141470857194
1,gauss,1,500,2,,0.039685026299205,tka,0.9929740334282028
2,gauss,1,500,2,,396.85026299204964,ctka,0.7050270815992422
3,gauss,2,500,2,,0.2799700152365614,hsic,0.033181678976351756
4,gauss,2,500,2,,0.039685026299205,tka,0.9866532324702527
5,gauss,2,500,2,,396.85026299204964,ctka,0.8638535255874202
6,gauss,3,500,2,,0.6467670473307154,hsic,0.025127475493870358
7,gauss,3,500,2,,0.039685026299205,tka,0.9898937256909924
8,gauss,3,500,2,,396.85026299204964,ctka,0.5636009095984679
9,gauss,4,500,2,,0.25509825071264086,hsic,0.04699861133703614
10,gauss,4,500,2,,0.039685026299205,tka,0.982667909694065
11,gauss,4,500,2,,396.85026299204964,ctka,0.736198109970566
12,gauss,5,500,2,,0.3701038834778718,hsic,0.050315873141227395
13,gauss,5,500,2,,0.039685026299205,tka,0.992031590325819
14,gauss,5,500,2,,0.039685026299205,ctka,0.789030885512536
15,gauss,1,500,3,,0.20224308181878134,hsic,0.04661230230884764
16,gauss,1,500,3,,314.62473766045645,tka,0.9926908705936346
17,gauss,1,500,3,,314.62473766045645,ctka,0.99270081571164
18,gauss,2,500,3,,0.13939831137651182,hsic,0.045128866339748865
19,gauss,2,500,3,,314.62473766045645,tka,0.9971379066915738
20,gauss,2,500,3,,314.62473766045645,ctka,0.9971432404412941
21,gauss,3,500,3,,0.18427636383529128,hsic,0.028109661810220624
22,gauss,3,500,3,,314.62473766045645,tka,0.9861914462812508
23,gauss,3,500,3,,314.62473766045645,ctka,0.9862194731937117
24,gauss,4,500,3,,0.13939831137651182,hsic,0.046685076793162424
25,gauss,4,500,3,,314.62473766045645,tka,0.9924462226333155
26,gauss,4,500,3,,314.62473766045645,ctka,0.9924591180915786
27,gauss,5,500,3,,0.15298947464753845,hsic,0.054113358729060757
28,gauss,5,500,3,,314.62473766045645,tka,0.9983173598907972
29,gauss,5,500,3,,314.62473766045645,ctka,0.9983205063009494
30,gauss,1,500,10,,0.014213378685721163,hsic,0.03823405134054239
31,gauss,1,500,10,,142.13378685721165,tka,0.9999999999999999
32,gauss,1,500,10,,15.240540078718968,ctka,0.9999999999999957
33,gauss,2,500,10,,0.014213378685721163,hsic,0.04117170732133118
34,gauss,2,500,10,,142.13378685721165,tka,0.9999999999999999
35,gauss,2,500,10,,10.504713102340503,ctka,0.9999999999999944
36,gauss,3,500,10,,0.014213378685721163,hsic,0.037632751351670574
37,gauss,3,500,10,,142.13378685721165,tka,0.9999999999999999
38,gauss,3,500,10,,11.528909661677435,ctka,1.0000000000000013
39,gauss,4,500,10,,0.014213378685721163,hsic,0.04111229308343697
40,gauss,4,500,10,,142.13378685721165,tka,0.9999999999999999
41,gauss,4,500,10,,11.528909661677435,ctka,1.000000000000003
42,gauss,5,500,10,,0.014213378685721163,hsic,0.034790924956824676
43,gauss,5,500,10,,142.13378685721165,tka,0.9999999999999999
44,gauss,5,500,10,,7.240491268191301,ctka,0.9999999999999934
45,gauss,1,500,50,,69.21321413420472,hsic,0.001996
46,gauss,1,500,50,,69.21321413420472,tka,0.9999999999999999
47,gauss,1,500,50,,0.05358927806574678,ctka,0.9999999999999992
48,gauss,2,500,50,,69.21321413420472,hsic,0.001996
49,gauss,2,500,50,,69.21321413420472,tka,0.9999999999999999
50,gauss,2,500,50,,0.04882855430062514,ctka,0.999999999999999
51,gauss,3,500,50,,69.21321413420472,hsic,0.001996
52,gauss,3,500,50,,69.21321413420472,tka,0.9999999999999999
53,gauss,3,500,50,,0.05358927806574678,ctka,0.9999999999999993
54,gauss,4,500,50,,69.21321413420472,hsic,0.001996
55,gauss,4,500,50,,69.21321413420472,tka,0.9999999999999999
56,gauss,4,500,50,,0.05358927806574678,ctka,0.9999999999999996
57,gauss,5,500,50,,69.21321413420472,hsic,0.001996
58,gauss,5,500,50,,69.21321413420472,tka,0.9999999999999999
59,gauss,5,500,50,,0.05358927806574678,ctka,1.0
60,gauss,1,500,100,,59.968353268861726,hsic,0.001996
61,gauss,1,500,100,,59.968353268861726,tka,0.9999999999999999
62,gauss,1,500,100,,0.011501392010995074,ctka,0.9999999999999996
63,gauss,2,500,100,,59.968353268861726,hsic,0.001996
64,gauss,2,500,100,,59.968353268861726,tka,0.9999999999999999
65,gauss,2,500,100,,0.010479640043902946,ctka,1.0000000000000002
66,gauss,3,500,100,,59.968353268861726,hsic,0.001996
67,gauss,3,500,100,,59.968353268861726,tka,0.9999999999999999
68,gauss,3,500,100,,0.010479640043902946,ctka,0.9999999999999999
69,gauss,4,500,100,,59.968353268861726,hsic,0.001996
70,gauss,4,500,100,,59.968353268861726,tka,0.9999999999999999
71,gauss,4,500,100,,0.009548657705500849,ctka,0.9999999999999999
72,gauss,5,500,100,,59.968353268861726,hsic,0.001996
73,gauss,5,500,100,,59.968353268861726,tka,0.9999999999999999
74,gauss,5,500,100,,0.011501392010995074,ctka,0.9999999999999999
75,gauss,1,1000,2,,0.4663016734416095,hsic,0.027272552721098225
76,gauss,1,1000,2,,0.04999999999999999,tka,0.9894527477425917
77,gauss,1,1000,2,,500.0000000000001,ctka,0.6039078741065004
78,gauss,2,1000,2,,0.2928510409028331,hsic,0.03315375334464435
79,gauss,2,1000,2,,0.04999999999999999,tka,0.9813773008011161
80,gauss,2,1000,2,,500.0000000000001,ctka,0.8131320487979249
81,gauss,3,1000,2,,0.6765238872899032,hsic,0.024833809199690124
82,gauss,3,1000,2,,0.04999999999999999,tka,0.9871314157165489
83,gauss,3,1000,2,,500.0000000000001,ctka,0.42706094491656066
84,gauss,4,1000,2,,0.24313007900326739,hsic,0.044866814867346026
85,gauss,4,1000,2,,0.04999999999999999,tka,0.9750735879503838
86,gauss,4,1000,2,,500.0000000000001,ctka,0.629275102693621
87,gauss,5,1000,2,,0.35274011553593193,hsic,0.04666928422479068
88,gauss,5,1000,2,,0.04999999999999999,tka,0.9887641999676322
89,gauss,5,1000,2,,0.04999999999999999,ctka,0.7500490167277702
90,gauss,1,1000,3,,0.2046794135221221,hsic,0.04649753911578719
91,gauss,1,1000,3,,383.5318511585978,tka,0.987297621394493
92,gauss,1,1000,3,,383.5318511585978,ctka,0.9873083944720727
93,gauss,2,1000,3,,0.1410775803153775,hsic,0.0446888388545016
94,gauss,2,1000,3,,383.5318511585978,tka,0.9955789937068066
95,gauss,2,1000,3,,383.5318511585978,ctka,0.9955829445488019
96,gauss,3,1000,3,,0.18649625854491855,hsic,0.028518295106528126
97,gauss,3,1000,3,,383.5318511585978,tka,0.9800910585683072
98,gauss,3,1000,3,,383.5318511585978,ctka,0.9801105576363791
99,gauss,4,1000,3,,0.12854463690626372,hsic,0.045453698583867864
100,gauss,4,1000,3,,383.5318511585978,tka,0.9873848338002069
101,gauss,4,1000,3,,383.5318511585978,ctka,0.9873973329338896
102,gauss,5,1000,3,,0.15483247023487443,hsic,0.052323377023206656
103,gauss,5,1000,3,,383.5318511585978,tka,0.9937295988614964
104,gauss,5,1000,3,,383.5318511585978,ctka,0.9937355680398958
105,gauss,1,1000,10,,0.015692842360779603,hsic,0.03557741701087879
106,gauss,1,1000,10,,156.92842360779602,tka,1.0
107,gauss,1,1000,10,,15.332063244808753,ctka,0.9999999999999943
108,gauss,2,1000,10,,0.015692842360779603,hsic,0.038843931777218794
109,gauss,2,1000,10,,156.92842360779602,tka,1.0
110,gauss,2,1000,10,,156.92842360779602,ctka,1.0000000000000306
111,gauss,3,1000,10,,0.015692842360779603,hsic,0.03559351097797079
112,gauss,3,1000,10,,156.92842360779602,tka,1.0
113,gauss,3,1000,10,,156.92842360779602,ctka,1.0000000000000306
114,gauss,4,1000,10,,0.015692842360779603,hsic,0.03891675839850968
115,gauss,4,1000,10,,156.92842360779602,tka,1.0
116,gauss,4,1000,10,,18.467524457843684,ctka,1.0000000000000298
117,gauss,5,1000,10,,0.015692842360779603,hsic,0.0324958973369086
118,gauss,5,1000,10,,156.92842360779602,tka,1.0
119,gauss,5,1000,10,,18.467524457843684,ctka,1.0000000000000304
120,gauss,1,1000,50,,0.007101306810268272,hsic,0.0010037203665448859
121,gauss,1,1000,50,,71.01306810268267,tka,1.0
122,gauss,1,1000,50,,71.01306810268267,ctka,1.0000000000000306
123,gauss,2,1000,50,,0.007101306810268272,hsic,0.0010023670216248518
124,gauss,2,1000,50,,71.01306810268267,tka,1.0
125,gauss,2,1000,50,,71.01306810268267,ctka,1.0000000000000306
126,gauss,3,1000,50,,0.007101306810268272,hsic,0.0010018864412883793
127,gauss,3,1000,50,,71.01306810268267,tka,1.0
128,gauss,3,1000,50,,71.01306810268267,ctka,1.0000000000000306
129,gauss,4,1000,50,,0.007101306810268272,hsic,0.0010021943713746637
130,gauss,4,1000,50,,71.01306810268267,tka,1.0
131,gauss,4,1000,50,,71.01306810268267,ctka,1.0000000000000306
132,gauss,5,1000,50,,0.007101306810268272,hsic,0.0010021112227985365
133,gauss,5,1000,50,,71.01306810268267,tka,1.0
134,gauss,5,1000,50,,71.01306810268267,ctka,1.0000000000000306
135,gauss,1,1000,100,,60.77306804359298,hsic,0.0009990000000000014
136,gauss,1,1000,100,,60.77306804359298,tka,1.0
137,gauss,1,1000,100,,60.77306804359298,ctka,1.0000000000000306
138,gauss,2,1000,100,,60.77306804359298,hsic,0.0009990000000000014
139,gauss,2,1000,100,,60.77306804359298,tka,1.0
140,gauss,2,1000,100,,60.77306804359298,ctka,1.0000000000000306
141,gauss,3,1000,100,,60.77306804359298,hsic,0.0009990000000000014
142,gauss,3,1000,100,,60.77306804359298,tka,1.0
143,gauss,3,1000,100,,60.77306804359298,ctka,1.0000000000000306
144,gauss,4,1000,100,,60.77306804359298,hsic,0.0009990000000000014
145,gauss,4,1000,100,,60.77306804359298,tka,1.0
146,gauss,4,1000,100,,60.77306804359298,ctka,1.0000000000000306
147,gauss,5,1000,100,,60.77306804359298,hsic,0.0009990000000000014
148,gauss,5,1000,100,,60.77306804359298,tka,1.0
149,gauss,5,1000,100,,60.77306804359298,ctka,1.0000000000000306
150,gauss,1,5000,2,,0.5007682359030778,hsic,0.02806052176289917
151,gauss,1,5000,2,,0.08549879733383485,tka,0.9764723048996603
152,gauss,1,5000,2,,0.08549879733383485,ctka,0.5698509936489157
153,gauss,2,5000,2,,0.3144970466284536,hsic,0.030114564895255772
154,gauss,2,5000,2,,0.08549879733383485,tka,0.9599324504922271
155,gauss,2,5000,2,,854.9879733383481,ctka,0.5730816803482975
156,gauss,3,5000,2,,0.6619861368850227,hsic,0.02528345439015318
157,gauss,3,5000,2,,0.08549879733383485,tka,0.9717295218751885
158,gauss,3,5000,2,,0.08549879733383485,ctka,0.4766118768468499
159,gauss,4,5000,2,,0.26110097323656295,hsic,0.04231883548461054
160,gauss,4,5000,2,,0.08549879733383485,tka,0.9511509242577719
161,gauss,4,5000,2,,0.08549879733383485,ctka,0.6366657208043748
162,gauss,5,5000,2,,0.37881280606490375,hsic,0.04648877872336523
163,gauss,5,5000,2,,0.08549879733383485,tka,0.9755423681157074
164,gauss,5,5000,2,,0.08549879733383485,ctka,0.7322701616926671
165,gauss,1,5000,3,,0.20359151653392055,hsic,0.04693496674058925
166,gauss,1,5000,3,,0.060744526645153216,tka,0.983366440208692
167,gauss,1,5000,3,,607.4452664515321,ctka,0.972157927852664
168,gauss,2,5000,3,,0.1403277351204612,hsic,0.04241803175689206
169,gauss,2,5000,3,,607.4452664515321,tka,0.9866142571476765
170,gauss,2,5000,3,,607.4452664515321,ctka,0.9866166608153281
171,gauss,3,5000,3,,0.18550500732677916,hsic,0.029194740052145673
172,gauss,3,5000,3,,607.4452664515321,tka,0.9521436094692305
173,gauss,3,5000,3,,607.4452664515321,ctka,0.9521503356153376
174,gauss,4,5000,3,,0.1403277351204612,hsic,0.042975814265076136
175,gauss,4,5000,3,,607.4452664515321,tka,0.9734875605713136
176,gauss,4,5000,3,,607.4452664515321,ctka,0.9734933321188269
177,gauss,5,5000,3,,0.15400951605914268,hsic,0.05069800013872766
178,gauss,5,5000,3,,607.4452664515321,tka,0.9843746713896514
179,gauss,5,5000,3,,607.4452664515321,ctka,0.9843776224860246
180,gauss,1,5000,10,,0.01974942564362874,hsic,0.03112127714109896
181,gauss,1,5000,10,,197.49425643628743,tka,1.0
182,gauss,1,5000,10,,197.49425643628743,ctka,1.0000000000004994
183,gauss,2,5000,10,,0.01974942564362874,hsic,0.03428271931469987
184,gauss,2,5000,10,,197.49425643628743,tka,1.0
185,gauss,2,5000,10,,27.99430058248782,ctka,1.0000000000004934
186,gauss,3,5000,10,,0.01974942564362874,hsic,0.03140678528565683
187,gauss,3,5000,10,,197.49425643628743,tka,1.0
188,gauss,3,5000,10,,37.006817862517195,ctka,1.0000000000004972
189,gauss,4,5000,10,,0.01974942564362874,hsic,0.03284956145931387
190,gauss,4,5000,10,,197.49425643628743,tka,1.0
191,gauss,4,5000,10,,197.49425643628743,ctka,1.0000000000004994
192,gauss,5,5000,10,,0.01974942564362874,hsic,0.02840280244185431
193,gauss,5,5000,10,,197.49425643628743,tka,1.0
194,gauss,5,5000,10,,27.99430058248782,ctka,1.0000000000004956
195,gauss,1,5000,50,,0.007537477948422559,hsic,0.00020381955877142065
196,gauss,1,5000,50,,75.37477948422554,tka,1.0
197,gauss,1,5000,50,,0.08467030127504963,ctka,1.0000000000004925
198,gauss,2,5000,50,,0.007537477948422559,hsic,0.00020337531004344133
199,gauss,2,5000,50,,75.37477948422554,tka,1.0
200,gauss,2,5000,50,,0.1228421097737635,ctka,1.0000000000004996
201,gauss,3,5000,50,,0.007537477948422559,hsic,0.00020265073226302687
202,gauss,3,5000,50,,75.37477948422554,tka,1.0
203,gauss,3,5000,50,,0.09292555112329218,ctka,1.0000000000005012
204,gauss,4,5000,50,,0.007537477948422559,hsic,0.0002031085281160862
205,gauss,4,5000,50,,75.37477948422554,tka,1.0
206,gauss,4,5000,50,,0.04845145937237838,ctka,0.9999999999993593
207,gauss,5,5000,50,,0.007537477948422559,hsic,0.00020279953734866413
208,gauss,5,5000,50,,75.37477948422554,tka,1.0
209,gauss,5,5000,50,,0.04845145937237838,ctka,0.9999999999989327
210,gauss,1,5000,100,,62.68345016666018,hsic,0.00019995999999999954
211,gauss,1,5000,100,,62.68345016666018,tka,1.0
212,gauss,1,5000,100,,0.009094295343720667,ctka,0.9999999999999403
213,gauss,2,5000,100,,62.68345016666018,hsic,0.00019995999999999954
214,gauss,2,5000,100,,62.68345016666018,tka,1.0
215,gauss,2,5000,100,,0.009094295343720667,ctka,0.999999999999917
216,gauss,3,5000,100,,62.68345016666018,hsic,0.00019995999999999954
217,gauss,3,5000,100,,62.68345016666018,tka,1.0
218,gauss,3,5000,100,,0.0158925393912095,ctka,1.0000000000005012
219,gauss,4,5000,100,,62.68345016666018,hsic,0.00019995999999999954
220,gauss,4,5000,100,,62.68345016666018,tka,1.0
221,gauss,4,5000,100,,0.01448068999336843,ctka,1.0000000000005003
222,gauss,5,5000,100,,62.68345016666018,hsic,0.00019995999999999954
223,gauss,5,5000,100,,62.68345016666018,tka,1.0
224,gauss,5,5000,100,,62.68345016666018,ctka,1.0000000000004994
225,gauss,1,10000,2,,0.47727422833091643,hsic,0.02835266740205628
226,gauss,1,10000,2,,0.10772173450159418,tka,0.9678859871512995
227,gauss,1,10000,2,,0.10772173450159418,ctka,0.5639155443270574
228,gauss,2,10000,2,,0.2997421251594701,hsic,0.03047838161907594
229,gauss,2,10000,2,,0.10772173450159418,tka,0.9461375033995966
230,gauss,2,10000,2,,0.10772173450159418,ctka,0.5658574373125648
231,gauss,3,10000,2,,0.6924431856969359,hsic,0.025762216028704245
232,gauss,3,10000,2,,0.10772173450159418,tka,0.9632795592123953
233,gauss,3,10000,2,,0.10772173450159418,ctka,0.47011091620399337
234,gauss,4,10000,2,,0.24885117821660518,hsic,0.04141902980600045
235,gauss,4,10000,2,,0.10772173450159418,tka,0.9357511774793444
236,gauss,4,10000,2,,0.10772173450159418,ctka,0.6102219954578222
237,gauss,5,10000,2,,0.36104045091927284,hsic,0.04725948114123806
238,gauss,5,10000,2,,0.10772173450159418,tka,0.9655603222290848
239,gauss,5,10000,2,,0.10772173450159418,ctka,0.7178156964207342
240,gauss,1,10000,3,,0.20604409222551956,hsic,0.04676686803596096
241,gauss,1,10000,3,,0.07404840739862932,tka,0.9784661964335889
242,gauss,1,10000,3,,740.4840739862933,ctka,0.9614093524926995
243,gauss,2,10000,3,,0.14201820041033608,hsic,0.04230892175630638
244,gauss,2,10000,3,,740.4840739862933,tka,0.9794563684307354
245,gauss,2,10000,3,,740.4840739862933,ctka,0.9794580062158468
246,gauss,3,10000,3,,0.18773970295351833,hsic,0.02923313713240625
247,gauss,3,10000,3,,740.4840739862933,tka,0.9284207112127464
248,gauss,3,10000,3,,740.4840739862933,ctka,0.9284256015878027
249,gauss,4,10000,3,,0.12940169490444378,hsic,0.04211898968594106
250,gauss,4,10000,3,,740.4840739862933,tka,0.9624641148067753
251,gauss,4,10000,3,,740.4840739862933,ctka,0.9624680157663571
252,gauss,5,10000,3,,0.14201820041033608,hsic,0.051512622773485686
253,gauss,5,10000,3,,740.4840739862933,tka,0.9754349370402244
254,gauss,5,10000,3,,740.4840739862933,ctka,0.97543735052035
255,gauss,1,10000,10,,0.021805133754211174,hsic,0.02855098659030081
256,gauss,1,10000,10,,218.05133754211164,tka,1.0
257,gauss,1,10000,10,,44.842525950723896,ctka,0.9999999999953454
258,gauss,2,10000,10,,0.021805133754211174,hsic,0.031889375357534215
259,gauss,2,10000,10,,218.05133754211164,tka,1.0
260,gauss,2,10000,10,,218.05133754211164,ctka,0.9999999999952845
261,gauss,3,10000,10,,0.021805133754211174,hsic,0.029277698238048176
262,gauss,3,10000,10,,218.05133754211164,tka,1.0
263,gauss,3,10000,10,,59.27918025541764,ctka,0.9999999999952839
264,gauss,4,10000,10,,0.021805133754211174,hsic,0.030560833251791663
265,gauss,4,10000,10,,218.05133754211164,tka,1.0
266,gauss,4,10000,10,,218.05133754211164,ctka,0.9999999999952845
267,gauss,5,10000,10,,0.021805133754211174,hsic,0.02651852040284727
268,gauss,5,10000,10,,218.05133754211164,tka,1.0
269,gauss,5,10000,10,,218.05133754211164,ctka,0.9999999999952845
270,gauss,1,10000,50,,0.0077334861784619496,hsic,0.00010310015796625475
271,gauss,1,10000,50,,77.33486178461952,tka,1.0
272,gauss,1,10000,50,,0.049711414606661106,ctka,0.9999999999992747
273,gauss,2,10000,50,,0.0077334861784619496,hsic,0.00010280284131227889
274,gauss,2,10000,50,,77.33486178461952,tka,1.0
275,gauss,2,10000,50,,0.049711414606661106,ctka,0.9999999999912988
276,gauss,3,10000,50,,0.0077334861784619496,hsic,0.00010224349894565303
277,gauss,3,10000,50,,77.33486178461952,tka,1.0
278,gauss,3,10000,50,,0.09534203219637101,ctka,0.9999999999952848
279,gauss,4,10000,50,,0.0077334861784619496,hsic,0.00010272760141471461
280,gauss,4,10000,50,,77.33486178461952,tka,1.0
281,gauss,4,10000,50,,0.049711414606661106,ctka,0.999999999997908
282,gauss,5,10000,50,,0.0077334861784619496,hsic,0.00010235011790136844
283,gauss,5,10000,50,,77.33486178461952,tka,1.0
284,gauss,5,10000,50,,0.07915463011083153,ctka,0.9999999999955702
285,gauss,1,10000,100,,0.01610580122947887,hsic,9.99899999999857e-05
286,gauss,1,10000,100,,63.52459880140906,tka,1.0
287,gauss,1,10000,100,,0.014675006237700206,ctka,0.9999999999953002
288,gauss,2,10000,100,,0.01610580122947887,hsic,9.998999999998564e-05
289,gauss,2,10000,100,,63.52459880140906,tka,1.0
290,gauss,2,10000,100,,0.014675006237700206,ctka,0.9999999999952984
291,gauss,3,10000,100,,0.01610580122947887,hsic,9.998999999998574e-05
292,gauss,3,10000,100,,63.52459880140906,tka,1.0
293,gauss,3,10000,100,,0.008397578109537843,ctka,0.9999999999991099
294,gauss,4,10000,100,,0.014675006237700206,hsic,9.998999999998628e-05
295,gauss,4,10000,100,,63.52459880140906,tka,1.0
296,gauss,4,10000,100,,0.014675006237700206,ctka,0.9999999999953006
297,gauss,5,10000,100,,63.52459880140906,hsic,9.998999999998568e-05
298,gauss,5,10000,100,,63.52459880140906,tka,1.0
299,gauss,5,10000,100,,0.014675006237700206,ctka,0.9999999999953858
300,gauss,1,30000,2,,0.5207104352019144,hsic,0.028124527435340496
301,gauss,1,30000,2,,0.15536162529769296,tka,0.9491485535902472
302,gauss,1,30000,2,,0.15536162529769296,ctka,0.5355930270012851
303,gauss,2,30000,2,,0.2979696554285611,hsic,0.03095957902969301
304,gauss,2,30000,2,,0.15536162529769296,tka,0.9172676340438233
305,gauss,2,30000,2,,0.15536162529769296,ctka,0.5453927905504125
306,gauss,3,30000,2,,0.6883485507290644,hsic,0.0258184886494004
307,gauss,3,30000,2,,0.15536162529769296,tka,0.941902635779993
308,gauss,3,30000,2,,0.15536162529769296,ctka,0.45332861025315924
309,gauss,4,30000,2,,0.24737964270702228,hsic,0.04151023262727863
310,gauss,4,30000,2,,0.15536162529769296,tka,0.9040284996979433
311,gauss,4,30000,2,,0.15536162529769296,ctka,0.5736991074497975
312,gauss,5,30000,2,,0.35890550485339123,hsic,0.04729145608676291
313,gauss,5,30000,2,,0.15536162529769296,tka,0.9453762302427687
314,gauss,5,30000,2,,0.15536162529769296,ctka,0.6879405873085105
315,gauss,1,30000,3,,0.1943857227383762,hsic,0.04620672199202965
316,gauss,1,30000,3,,0.10135287694267034,tka,0.967055314205287
